AÑO,MES,CORREGIMIENTO/BARRIO,ZONA WIFI,OTRO,SMARTPHONE,TABLET,PC
2024,ENERO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,9,18352,2,507
2024,FEBRERO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,13,21359,2,559
2024,MARZO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,0,0,0,0
2024,ABRIL,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,0,0,0,0
2024,MAYO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,0,2,0,4
2024,JUNIO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,0,1439,0,61
2024,JULIO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,1,2145,0,56
2024,AGOSTO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,1,2143,0,59
2024,SEPTIEMBRE,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,1,1918,0,67
2024,OCTUBRE,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,0,2478,1,63
2024,NOVIEMBRE,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,0,2650,1,70
2024,DICIEMBRE,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,6,2998,0,66
2025,ENERO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,0,2579,0,61
2025,FEBRERO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,4,3007,0,52
2025,MARZO,BAYUNCA,BIBLIOTEC DISTRITAL BAYUNCA,34,3479,0,77
2024,ENERO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,2,24427,0,38
2024,FEBRERO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,0,0,0
2024,MARZO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,0,0,0
2024,ABRIL,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,0,0,0
2024,MAYO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,98,0,0
2024,JUNIO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,1777,0,5
2024,JULIO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,1,3029,0,2
2024,AGOSTO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,3080,0,10
2024,SEPTIEMBRE,CIUDADELA LA PAZ,CIUDADELA LA PAZ,1,3153,0,6
2024,OCTUBRE,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,4228,0,2
2024,NOVIEMBRE,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,4187,0,2
2024,DICIEMBRE,CIUDADELA LA PAZ,CIUDADELA LA PAZ,0,4875,0,11
2025,ENERO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,1,4457,0,10
2025,FEBRERO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,5,4085,0,6
2025,MARZO,CIUDADELA LA PAZ,CIUDADELA LA PAZ,15,3613,0,16
2024,ENERO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,0,0,0
2024,FEBRERO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,0,0,0
2024,MARZO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,0,0,0
2024,ABRIL,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,0,0,0
2024,MAYO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,0,0,0
2024,JUNIO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,1,97,0,2
2024,JULIO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,1,313,0,6
2024,AGOSTO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,370,0,4
2024,SEPTIEMBRE,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,8,347,0,0
2024,OCTUBRE,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,413,0,6
2024,NOVIEMBRE,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,2,366,0,1
2024,DICIEMBRE,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,0,495,0,0
2025,ENERO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,1,466,0,0
2025,FEBRERO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,1,349,0,3
2025,MARZO,COLOMBIATÓN,BIBLIOTECA COLOMBIATÓN,2,308,0,5
2024,ENERO,EL SOCORRO,JORGE ARTEL,0,0,0,0
2024,FEBRERO,EL SOCORRO,JORGE ARTEL,0,0,0,0
2024,MARZO,EL SOCORRO,JORGE ARTEL,0,0,0,0
2024,ABRIL,EL SOCORRO,JORGE ARTEL,0,0,0,0
2024,MAYO,EL SOCORRO,JORGE ARTEL,0,11,0,0
2024,JUNIO,EL SOCORRO,JORGE ARTEL,0,257,0,3
2024,JULIO,EL SOCORRO,JORGE ARTEL,0,539,0,10
2024,AGOSTO,EL SOCORRO,JORGE ARTEL,0,795,0,10
2024,SEPTIEMBRE,EL SOCORRO,JORGE ARTEL,0,815,0,30
2024,OCTUBRE,EL SOCORRO,JORGE ARTEL,0,894,0,21
